postal_code,place_name,district_code,district_name,province,post_office_type
70171,Halwinna,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
82000,Hambantota,HB,Hambantota,Southern Province,Main Post Office
91308,Hambegamuwa,MJ,Monaragala,Uva Province,Sub Post Office
20984,Handaganawa,KY,Kandy,Central Province,Sub Post Office
70106,Handagiriya,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
10524,Handapangoda,CO,Colombo,Western Province,Sub Post Office
20438,Handawalapitiya,KY,Kandy,Central Province,Sub Post Office
20480,Handessa,KY,Kandy,Central Province,Main Post Office
81326,Handugala,MH,Matara,Southern Province,Sub Post Office
21536,Handungamuwa,MT,Matale,Central Province,Sub Post Office
22044,Hangarapitiya,NW,Nuwara Eliya,Central Province,Sub Post Office
90224,Hangunnawa,BD,Badulla,Uva Province,Sub Post Office
20710,Hanguranketha,KY,Kandy,Central Province,Main Post Office
51098,Hansayapalama,PR,Polonnaruwa,North Central Province,Sub Post Office
10650,Hanwella,CO,Colombo,Western Province,Main Post Office
22668,Hapugastalawa,NW,Nuwara Eliya,Central Province,Sub Post Office
70164,Hapugastenna,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
90160,Haputale,BD,Badulla,Uva Province,Main Post Office
22669,Harangalagama,NW,Nuwara Eliya,Central Province,Sub Post Office
20092,Harankahawa,KY,Kandy,Central Province,Sub Post Office
22262,Harasbedda,NW,Nuwara Eliya,Central Province,Sub Post Office
20960,Hasalaka,KY,Kandy,Central Province,Main Post Office
70105,Hatangala,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
70108,Hatarabage,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
20060,Hataraliyadda,KY,Kandy,Central Province,Main Post Office
82013,Hathporuwa,HB,Hambantota,Southern Province,Sub Post Office
22000,Hatton,NW,Nuwara Eliya,Central Province,Main Post Office
21514,Hattota Amuna,MT,Matale,Central Province,Sub Post Office
00500,Havelock Town,CO,Colombo,Western Province,Main Post Office
80132,Hawpe,GL,Galle,Southern Province,Sub Post Office
90724,Hebarawa,BD,Badulla,Uva Province,Sub Post Office
22683,Hebbekanda,NW,Nuwara Eliya,Central Province,Sub Post Office
12234,Hedigalla Colony,KT,Kalutara,Western Province,Sub Post Office
22024,Hedunuwewa,NW,Nuwara Eliya,Central Province,Sub Post Office
90112,Heeloya,BD,Badulla,Uva Province,Sub Post Office
11618,Heiyanthuduwa,GQ,Gampaha,Western Province,Main Post Office
90122,Helahalpe,BD,Badulla,Uva Province,Sub Post Office
71046,Helamada,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
90094,Helapupula,BD,Badulla,Uva Province,Sub Post Office
71530,Hemmatagama,KE,Kegalle,Sabaragamuwa Province,Main Post Office
11307,Hendala,GQ,Gampaha,Western Province,Sub Post Office
11715,Henegama,GQ,Gampaha,Western Province,Main Post Office
60414,Hengamuwa,KG,Kurunegala,North Western Province,Sub Post Office
70058,Hettikanda,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
71210,Hettimulla,KE,Kegalle,Sabaragamuwa Province,Main Post Office
60430,Hettipola,KG,Kurunegala,North Western Province,Main Post Office
71108,Hewadiwela,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
20440,Hewaheta,KY,Kandy,Central Province,Sub Post Office
10714,Hewainna,CO,Colombo,Western Province,Sub Post Office
90358,Hewanakumbura,BD,Badulla,Uva Province,Sub Post Office
90607,Hewanwatta,BD,Badulla,Uva Province,Sub Post Office
70012,Hidellana,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
50044,Hidogama,AD,Anuradhapura,North Central Province,Sub Post Office
80240,Hikkaduwa,GL,Galle,Southern Province,Main Post Office
60486,Hilogama,KG,Kurunegala,North Western Province,Sub Post Office
11568,Hinatiyana Madawala,GQ,Gampaha,Western Province,Sub Post Office
20414,Hindagala,KY,Kandy,Central Province,Sub Post Office
60034,Hindagolla,KG,Kurunegala,North Western Province,Sub Post Office
71520,Hingula,KE,Kegalle,Sabaragamuwa Province,Main Post Office
51408,Hingurakdamana,PR,Polonnaruwa,North Central Province,Sub Post Office
51400,Hingurakgoda,PR,Polonnaruwa,North Central Province,Main Post Office
71417,Hinguralakanda,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
32010,Hingurana,APR,Ampara,Eastern Province,Main Post Office
90508,Hingurukaduwa,BD,Badulla,Uva Province,Sub Post Office
80080,Hiniduma,GL,Galle,Southern Province,Main Post Office
70296,Hiramadagama,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
10232,Hiripitiya,CO,Colombo,Western Province,Sub Post Office
71014,Hiriwadunna,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
60591,Hiriyala Ambagaswewa,KG,Kurunegala,North Western Province,Sub Post Office
60546,Hiriyala Lenawa,KG,Kurunegala,North Western Province,Sub Post Office
60458,Hiruwalpola,KG,Kurunegala,North Western Province,Sub Post Office
11734,Hiswella,GQ,Gampaha,Western Province,Sub Post Office
22046,Hitigegama,NW,Nuwara Eliya,Central Province,Sub Post Office
80056,Hiyare,GL,Galle,Southern Province,Sub Post Office
10118,Hokandara,CO,Colombo,Western Province,Sub Post Office
10200,Homagama,CO,Colombo,Western Province,Main Post Office
20524,Hondiyadeniya,KY,Kandy,Central Province,Sub Post Office
90524,Hopton,BD,Badulla,Uva Province,Sub Post Office
90163,Horadorowwa,BD,Badulla,Uva Province,Sub Post Office
10502,Horagala,CO,Colombo,Western Province,Sub Post Office
11564,Horampella,GQ,Gampaha,Western Province,Main Post Office
12400,Horana,KT,Kalutara,Western Province,Main Post Office
81108,Horapawita,MH,Matara,Southern Province,Sub Post Office
50350,Horawpatana,AD,Anuradhapura,North Central Province,Main Post Office
82456,Horewelagoda,HB,Hambantota,Southern Province,Sub Post Office
50222,Horiwila,AD,Anuradhapura,North Central Province,Sub Post Office
60181,Horombawa,KG,Kurunegala,North Western Province,Sub Post Office
91004,Hulandawa,MJ,Monaragala,Uva Province,Sub Post Office
32514,Hulannuge,AR,Ampara,Eastern Province,Sub Post Office
60474,Hulogedara,KG,Kurunegala,North Western Province,Sub Post Office
60477,Hulugalla,KG,Kurunegala,North Western Province,Sub Post Office
82120,Hungama,HB,Hambantota,Southern Province,Main Post Office
20948,Hunnasgiriya,KY,Kandy,Central Province,Sub Post Office
11262,Hunumulla,GQ,Gampaha,Western Province,Sub Post Office
11311,Hunupitiya,GQ,Gampaha,Western Province,Sub Post Office
60582,Hunupola,KG,Kurunegala,North Western Province,Sub Post Office
50176,Hurigaswewa,AD,Anuradhapura,North Central Province,Sub Post Office
50394,Hurulunikawewa,AD,Anuradhapura,North Central Province,Sub Post Office
60500,Ibbagamuwa,KG,Kurunegala,North Western Province,Main Post Office
31236,Ichchilampattai,TC,Trincomalee,Eastern Province,Sub Post Office
90167,Idalgashinna,BD,Badulla,Uva Province,Sub Post Office
82412,Ihala Beligalla,HB,Hambantota,Southern Province,Sub Post Office
60211,Ihala Gomugomuwa,KG,Kurunegala,North Western Province,Sub Post Office
70039,Ihala hakamuwa,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
50262,Ihala Halmillewa,AD,Anuradhapura,North Central Province,Sub Post Office
80432,Ihala Hewessa,GL,Galle,Southern Province,Sub Post Office
60238,Ihala Kadigamuwa,KG,Kurunegala,North Western Province,Sub Post Office
60135,Ihala Katugampala,KG,Kurunegala,North Western Province,Sub Post Office
20042,Ihala Kobbekaduwa,KY,Kandy,Central Province,Sub Post Office
61154,Ihala Kottaramulla,PX,Puttalam,North Western Province,Sub Post Office
11265,Ihala Madampella,GQ,Gampaha,Western Province,Sub Post Office
61316,Ihala Puliyankulama,PX,Puttalam,North Western Province,Sub Post Office
11034,Ihala Uggalboda,GQ,Gampaha,Western Province,Sub Post Office
80134,Ihala Walpola,GL,Galle,Southern Province,Sub Post Office
70144,Ihalagalagama,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
50304,Ihalagama,AD,Anuradhapura,North Central Province,Sub Post Office
40108,Ilavalai,JA,Jaffna,Northern Province,Sub Post Office
61018,Ilippadeniya,PX,Puttalam,North Western Province,Sub Post Office
20724,Illagolla,KY,Kandy,Central Province,Sub Post Office
21406,Illukkumbura,MT,Matale,Central Province,Sub Post Office
60232,Ilukhena,KG,Kurunegala,North Western Province,Sub Post Office
41175,Iluppaikadavai,MB,Mannar,Northern Province,Sub Post Office
80130,Imaduwa,GL,Galle,Southern Province,Main Post Office
71313,Imbulana,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
71055,Imbulgasdeniya,KE,Kegalle,Sabaragamuwa Province,Sub Post Office
11856,Imbulgoda,GQ,Gampaha,Western Province,Sub Post Office
21064,Imbulgolla,MT,Matale,Central Province,Sub Post Office
70134,Imbulpe,RN,Ratnapura,Sabaragamuwa Province,Sub Post Office
21124,Inamaluwa,MT,Matale,Central Province,Sub Post Office
60016,Indulgodakanda,KG,Kurunegala,North Western Province,Sub Post Office
80510,Induruwa,GL,Galle,Southern Province,Main Post Office
61514,Inginimitiya,PX,Puttalam,North Western Province,Sub Post Office
32040,Inginiyagala,APR,Ampara,Eastern Province,Main Post Office
12440,Ingiriya,KT,Kalutara,Western Province,Main Post Office
60064,Inguruwatta,KG,Kurunegala,North Western Province,Sub Post Office
40095,Inuvil,JA,Jaffna,Northern Province,Sub Post Office
50280,Ipologama,AD,Anuradhapura,North Central Province,Main Post Office
32450,Irakkamam,APR,Ampara,Eastern Province,Main Post Office
43095,Iranaiiluppaikulam,VA,Vavuniya,Northern Province,Sub Post Office
42630,Iranaitivu,KO,Kilinochchi,Northern Province,Sub Post Office
60045,Iriyagolla,KG,Kurunegala,North Western Province,Sub Post Office
61302,Ismailpuram,PX,Puttalam,North Western Province,Sub Post Office
